"id","stub_id","source_id"
108097,504,11756
108098,544,11731
108099,557,11733
108100,575,11722
108101,617,11718
108102,641,11731
108103,748,11751
108104,795,11731
108105,1008,11766
108106,1034,11729
108107,1170,11724
108108,1213,11773
108109,1278,11727
108110,1390,11772
108111,1458,11790
108112,1528,11777
108113,1798,11771
108114,1842,11751
108115,1896,11751
108116,2012,11720
108117,2020,11765
108118,2250,11755
108119,2346,11766
108120,2382,11765
108121,2594,11730
108122,2663,11735
108123,2705,11749
108124,2845,11768
108125,3091,11761
108126,3115,11733
108127,3194,11738
108128,3250,11754
108129,3281,11766
108130,3336,11778
108131,3475,11720
108132,3478,11729
108133,3552,11771
108134,3618,11761
108135,3710,11719
108136,3899,11716
108137,3988,11789
108138,4105,11753
108139,4148,11747
108140,4208,11743
108141,4310,11748
108142,4314,11731
108143,4385,11769
108144,4388,11734
108145,4405,11763
108146,4428,11776
108147,4499,11727
108148,4500,11758
108149,4621,11744
108150,4672,11741
108151,4695,11723
108152,4959,11736
108153,56,11731
108154,104,11716
108155,134,11718
108156,312,11735
108157,434,11719
108158,452,11792
108159,851,11775
108160,864,11734
108161,938,11736
108162,973,11735
108163,1231,11778
108164,1273,11728
108165,1495,11759
108166,1586,11749
108167,1606,11721
108168,1625,11721
108169,1879,11736
108170,1935,11778
108171,2271,11737
108172,2184,11742
108173,2191,11750
108174,2207,11725
108175,2347,11741
108176,2374,11772
108177,2395,11791
108178,2456,11743
108179,2508,11719
108180,2546,11767
108181,2585,11776
108182,2769,11750
108183,2863,11723
108184,2879,11726
108185,2903,11762
108186,2919,11771
108187,2925,11771
108188,3025,11718
108189,3066,11760
108190,3079,11775
108191,3114,11764
108192,3117,11728
108193,3154,11748
108194,3409,11765
108195,3438,11734
108196,3686,11731
108197,3757,11757
108198,3758,11765
108199,3763,11746
108200,3799,11765
108201,3802,11733
108202,3815,11737
108203,3894,11722
108204,3919,11724
108205,3979,11722
108206,3980,11739
108207,4047,11734
108208,4056,11735
108209,4081,11736
108210,4093,11721
108211,4319,11766
108212,4358,11740
108213,4502,11770
108214,4525,11740
108215,4652,11723
108216,4797,11725
108217,4854,11767
108218,5006,11717
108219,5020,11745
108220,5035,11733
108221,234,11788
108222,550,11787
108223,1260,11783
108224,1819,11782
108225,3981,11786
108226,270,11788
108227,1627,11787
108228,2525,11783
108229,2738,11785
108230,3209,11782
108231,2644,11781
108232,813,11779
108233,3609,11780
108234,4467,11752
108235,1705,11732
108236,2249,11774
108237,13,11775
108238,5116,11744
108239,4967,11784
108240,4204,11786
108241,4733,11784
